news_id,news_url,image_url
1,https://www.misbar.com/factcheck/2025/08/28/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%82%D8%AF%D9%8A%D9%85-%D9%88%D9%84%D9%8A%D8%B3-%D9%84%D9%85%D8%B8%D8%A7%D9%87%D8%B1%D8%A9-%D8%B3%D9%8A%D8%A7%D8%B3%D9%8A%D8%A9-%D9%86%D9%8F%D8%B8%D9%85%D8%AA-%D8%AE%D9%84%D8%A7%D9%84-%D8%A7%D8%AD%D8%AA%D9%81%D8%A7%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D9%88%D9%84%D8%AF-%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A-%D9%81%D9%8A-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86-%D8%AD%D8%AF%D9%8A%D8%AB%D9%8B%D8%A7,https://assets.misbar.com/styles/large_425x240/public/images/2025-08/mzahrt-fy-alswdan.PNG.webp?itok=Y_uN2xlT
2,https://www.misbar.com/factcheck/2025/08/26/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%84%D9%8A%D8%B3-%D9%84%D9%85%D8%B1%D8%AA%D8%B2%D9%82-%D9%83%D9%88%D9%84%D9%88%D9%85%D8%A8%D9%8A-%D9%8A%D9%82%D8%A7%D8%AA%D9%84-%D9%81%D9%8A-%D8%B5%D9%81%D9%88%D9%81-%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9,https://assets.misbar.com/styles/small_scale_180/public/images/2025-08/mrtzqt.jpg.webp?itok=BjuHQf94
3,https://www.misbar.com/factcheck/2025/08/23/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%84%D9%8A%D8%B3-%D9%84%D9%85%D8%B1%D8%AA%D8%B2%D9%82%D8%A9-%D9%83%D9%88%D9%84%D9%88%D9%85%D8%A8%D9%8A%D9%8A%D9%86-%D9%8A%D8%B4%D8%A7%D8%B1%D9%83%D9%88%D9%86-%D9%81%D9%8A-%D9%85%D8%B9%D8%A7%D8%B1%D9%83-%D8%A7%D9%84%D9%81%D8%A7%D8%B4%D8%B1,https://assets.misbar.com/styles/large_425x240/public/images/2025-08/mrtzqt-mn-kwlwmbya.PNG.webp?itok=vAH2O4tN
4,https://www.misbar.com/factcheck/2025/08/19/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%84%D9%8A%D8%B3-%D9%84%D9%85%D8%B1%D8%AA%D8%B2%D9%82%D8%A9-%D9%83%D9%88%D9%84%D9%88%D9%85%D8%A8%D9%8A%D9%8A%D9%86-%D9%8A%D9%82%D8%A7%D8%AA%D9%84%D9%88%D9%86-%D9%81%D9%8A-%D8%B5%D9%81%D9%88%D9%81-%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D9%81%D8%A7%D8%B4%D8%B1,https://assets.misbar.com/styles/small_scale_180/public/images/2025-08/tdryb.jpg.webp?itok=SsqHg5pj
5,https://www.misbar.com/factcheck/2025/08/07/%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%A9-%D9%85%D9%86-%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D9%81%D9%8A-%D9%85%D8%B7%D8%A7%D8%B1-%D8%B5%D9%86%D8%B9%D8%A7%D8%A1-%D9%88%D9%84%D9%8A%D8%B3%D8%AA-%D9%84%D8%AA%D8%AF%D9%85%D9%8A%D8%B1-%D8%B7%D8%A7%D8%A6%D8%B1%D8%A9-%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA%D9%8A%D8%A9-%D9%81%D9%8A-%D9%86%D9%8A%D8%A7%D9%84%D8%A7,https://assets.misbar.com/styles/large_425x240/public/images/2025-08/nyala.png.webp?itok=bCYBERUP
6,https://www.misbar.com/factcheck/2025/07/10/%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%B9%D8%A8%D8%AF-%D8%A7%D9%84%D9%81%D8%AA%D8%A7%D8%AD-%D8%A7%D9%84%D8%A8%D8%B1%D9%87%D8%A7%D9%86-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D9%82%D9%88%D9%84%D8%AF-%D9%85%D9%86-2023-%D9%88%D9%84%D9%8A%D8%B3-%D8%AD%D8%AF%D9%8A%D8%AB%D9%8B%D8%A7,https://assets.misbar.com/styles/large_425x240/public/images/2025-07/albrhan.jpg.webp?itok=5WvsQUJH
7,https://www.misbar.com/factcheck/2025/07/09/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%82%D8%AF%D9%8A%D9%85-%D9%88%D9%84%D9%8A%D8%B3-%D9%84%D8%A7%D8%B3%D8%AA%D8%B9%D8%A7%D8%AF%D8%A9-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86%D9%8A-%D9%85%D9%86%D9%82%D8%B7%D8%A9-%D8%A7%D9%84%D8%AD%D9%85%D8%A7%D8%AF%D9%8A-%D9%85%D9%86-%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9,https://assets.misbar.com/styles/large_425x240/public/images/2025-07/screenshot-2025-07-08-213130.png.webp?itok=ZTdIIhDM
8,https://www.misbar.com/factcheck/2025/07/08/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%82%D8%AF%D9%8A%D9%85-%D9%88%D9%84%D9%8A%D8%B3-%D9%84%D9%88%D8%B5%D9%88%D9%84-%D9%85%D8%B9%D8%AF%D8%A7%D8%AA-%D9%88%D8%A2%D9%84%D9%8A%D8%A7%D8%AA-%D8%B9%D8%B3%D9%83%D8%B1%D9%8A%D8%A9-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86,https://assets.misbar.com/styles/large_425x240/public/images/2025-07/maly.png.webp?itok=7Y6l-lAA
9,https://www.misbar.com/factcheck/2025/06/26/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%82%D8%AF%D9%8A%D9%85-%D9%88%D9%84%D9%8A%D8%B3-%D9%84%D8%A7%D8%B4%D8%AA%D8%A8%D8%A7%D9%83%D8%A7%D8%AA-%D8%A8%D9%8A%D9%86-%D8%B9%D9%86%D8%A7%D8%B5%D8%B1-%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9-%D9%81%D9%8A-%D9%86%D9%8A%D8%A7%D9%84%D8%A7-%D8%AD%D8%AF%D9%8A%D8%AB%D9%8B%D8%A7,https://assets.misbar.com/styles/large_425x240/public/images/2025-06/ashtbakat-nyala.PNG.webp?itok=Ntdvwb_v
10,https://www.misbar.com/factcheck/2025/06/02/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%85%D9%86-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D9%88%D9%84%D9%8A%D8%B3-%D9%84%D8%BA%D8%B1%D9%82-%D8%B4%D8%A7%D8%AD%D9%86%D8%A9-%D8%AF%D9%82%D9%8A%D9%82-%D8%B3%D8%B1%D9%82%D8%AA%D9%87%D8%A7-%D9%82%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9,https://assets.misbar.com/styles/large_425x240/public/images/2025-06/screenshot-2025-06-01-at-20.01.06.png.webp?itok=tsoJJkJL
